 NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
  111              -3.25603e-05      -7.45112e-05       9.30147e-06
  112              -3.46680e-05      -7.94425e-05       7.54502e-06
  113              -3.63265e-05      -8.33336e-05       5.71375e-06
  114              -3.75207e-05      -8.61408e-05       3.83342e-06
  115              -3.82407e-05      -8.78358e-05       1.92361e-06
  116              -3.84813e-05      -8.84025e-05       2.02472e-17
  117              -3.82407e-05      -8.78358e-05      -1.92361e-06
  118              -3.75207e-05      -8.61408e-05      -3.83342e-06
  119              -3.63265e-05      -8.33336e-05      -5.71375e-06
  120              -3.46680e-05      -7.94425e-05      -7.54502e-06
  121              -3.25603e-05      -7.45112e-05      -9.30147e-06
  122              -3.00265e-05      -6.86031e-05      -1.09485e-05
  123              -2.70992e-05      -6.18070e-05      -1.24396e-05
  124              -2.38251e-05      -5.42442e-05      -1.37119e-05
  125              -2.02687e-05      -4.60781e-05      -1.46818e-05
  126              -1.65189e-05      -3.75253e-05      -1.52380e-05
  127              -1.26965e-05      -2.88681e-05      -1.52352e-05
  128              -8.96362e-06      -2.04673e-05      -1.44879e-05
  129              -5.53355e-06      -1.27725e-05      -1.27725e-05
  130              -2.67805e-06      -6.32583e-06      -9.85427e-06
  131              -7.20758e-07      -1.78352e-06      -5.57363e-06
  132               0.00000e+00       0.00000e+00       0.00000e+00
  133               0.00000e+00       0.00000e+00       0.00000e+00
  134              -1.19806e-06      -2.01207e-06       9.15953e-06
  135              -4.37723e-06      -7.17201e-06       1.58911e-05
  136              -8.96362e-06      -1.44879e-05       2.04673e-05
  137              -1.44581e-05      -2.32131e-05       2.32131e-05
  138              -2.04460e-05      -3.27508e-05       2.44713e-05
  139              -2.65961e-05      -4.26096e-05       2.45590e-05
  140              -3.26503e-05      -5.23879e-05       2.37456e-05
  141              -3.84119e-05      -6.17632e-05       2.22500e-05
  142              -4.37326e-05      -7.04807e-05       2.02444e-05
  143              -4.85026e-05      -7.83430e-05       1.78626e-05
  144              -5.26410e-05      -8.51995e-05       1.52073e-05
  145              -5.60898e-05      -9.09376e-05       1.23565e-05
  146              -5.88079e-05      -9.54750e-05       9.36956e-06
  147              -6.07670e-05      -9.87537e-05       6.29190e-06
  148              -6.19492e-05      -1.00735e-04       3.15899e-06
  149              -6.23443e-05      -1.01398e-04       3.16332e-17
  150              -6.19492e-05      -1.00735e-04      -3.15899e-06
  151              -6.07670e-05      -9.87537e-05      -6.29190e-06
  152              -5.88079e-05      -9.54750e-05      -9.36956e-06
  153              -5.60898e-05      -9.09376e-05      -1.23565e-05
  154              -5.26410e-05      -8.51995e-05      -1.52073e-05
  155              -4.85026e-05      -7.83430e-05      -1.78626e-05
  156              -4.37326e-05      -7.04807e-05      -2.02444e-05
  157              -3.84119e-05      -6.17632e-05      -2.22500e-05
  158              -3.26503e-05      -5.23879e-05      -2.37456e-05
  159              -2.65961e-05      -4.26096e-05      -2.45590e-05
  160              -2.04460e-05      -3.27508e-05      -2.44713e-05
  161              -1.44581e-05      -2.32131e-05      -2.32131e-05
  162              -8.96362e-06      -1.44879e-05      -2.04673e-05
  163              -4.37723e-06      -7.17201e-06      -1.58911e-05
  164              -1.19806e-06      -2.01207e-06      -9.15953e-06
  165               0.00000e+00       0.00000e+00       0.00000e+00
  166               0.00000e+00       0.00000e+00       0.00000e+00
  167              -1.71295e-06      -2.09177e-06       1.30458e-05
  168              -6.22152e-06      -7.51172e-06       2.24725e-05
  169              -1.26965e-05      -1.52352e-05       2.88681e-05
  170              -2.04460e-05      -2.44713e-05       3.27508e-05
  171              -2.89016e-05      -3.45909e-05       3.45909e-05
  172              -3.76058e-05      -4.50794e-05       3.48040e-05
  173              -4.61975e-05      -5.55144e-05       3.37439e-05
  174              -5.43960e-05      -6.55514e-05       3.17024e-05
  175              -6.19864e-05      -7.49137e-05       2.89146e-05
  176              -6.88065e-05      -8.33823e-05       2.55669e-05
  177              -7.47353e-05      -9.07868e-05       2.18054e-05
  178              -7.96841e-05      -9.69971e-05       1.77436e-05
  179              -8.35894e-05      -1.01917e-04       1.34697e-05
  180              -8.64070e-05      -1.05476e-04       9.05255e-06
  181              -8.81083e-05      -1.07630e-04       4.54722e-06
  182              -8.86771e-05      -1.08350e-04       4.21741e-17
  183              -8.81083e-05      -1.07630e-04      -4.54722e-06
  184              -8.64070e-05      -1.05476e-04      -9.05255e-06
  185              -8.35894e-05      -1.01917e-04      -1.34697e-05
  186              -7.96841e-05      -9.69971e-05      -1.77436e-05
  187              -7.47353e-05      -9.07868e-05      -2.18054e-05
  188              -6.88065e-05      -8.33823e-05      -2.55669e-05
  189              -6.19864e-05      -7.49137e-05      -2.89146e-05
  190              -5.43960e-05      -6.55514e-05      -3.17024e-05
  191              -4.61975e-05      -5.55144e-05      -3.37439e-05
  192              -3.76058e-05      -4.50794e-05      -3.48040e-05
  193              -2.89016e-05      -3.45909e-05      -3.45909e-05
  194              -2.04460e-05      -2.44713e-05      -3.27508e-05
  195              -1.26965e-05      -1.52352e-05      -2.88681e-05
  196              -6.22152e-06      -7.51172e-06      -2.24725e-05
  197              -1.71295e-06      -2.09177e-06      -1.30458e-05
  198               0.00000e+00       0.00000e+00       0.00000e+00
  199               0.00000e+00       0.00000e+00       0.00000e+00
  200              -2.23417e-06      -2.06765e-06       1.69975e-05
  201              -8.10154e-06      -7.47741e-06       2.92230e-05
  202              -1.65189e-05      -1.52380e-05       3.75253e-05
  203              -2.65961e-05      -2.45590e-05       4.26096e-05
  204              -3.76058e-05      -3.48040e-05       4.50794e-05
  205              -4.89610e-05      -4.54524e-05       4.54524e-05
  206              -6.01937e-05      -5.60750e-05       4.41660e-05
  207              -7.09361e-05      -6.63198e-05       4.15840e-05
  208              -8.09025e-05      -7.59005e-05       3.80034e-05
  209              -8.98744e-05      -8.45872e-05       3.36633e-05
  210              -9.76867e-05      -9.21986e-05       2.87545e-05
  211              -1.04217e-04      -9.85942e-05       2.34277e-05
  212              -1.09376e-04      -1.03668e-04       1.78020e-05
  213              -1.13101e-04      -1.07343e-04       1.19725e-05
  214              -1.15351e-04      -1.09568e-04       6.01647e-06
  215              -1.16104e-04      -1.10313e-04       5.18987e-17
  216              -1.15351e-04      -1.09568e-04      -6.01647e-06
  217              -1.13101e-04      -1.07343e-04      -1.19725e-05
  218              -1.09376e-04      -1.03668e-04      -1.78020e-05
  219              -1.04217e-04      -9.85942e-05      -2.34277e-05
  220              -9.76867e-05      -9.21986e-05      -2.87545e-05
  221              -8.98744e-05      -8.45872e-05      -3.36633e-05
  222              -8.09025e-05      -7.59005e-05      -3.80034e-05
