 NODE           X-DISPLACEMENT    Y-DISPLACEMENT    Z-DISPLACEMENT
    1               0.00000e+00       0.00000e+00       0.00000e+00
    2               0.00000e+00       0.00000e+00       0.00000e+00
    3               0.00000e+00       0.00000e+00       0.00000e+00
    4               0.00000e+00       0.00000e+00       0.00000e+00
    5               0.00000e+00       0.00000e+00       0.00000e+00
    6               0.00000e+00       0.00000e+00       0.00000e+00
    7               0.00000e+00       0.00000e+00       0.00000e+00
    8               0.00000e+00       0.00000e+00       0.00000e+00
    9               0.00000e+00       0.00000e+00       0.00000e+00
   10               0.00000e+00       0.00000e+00       0.00000e+00
   11               0.00000e+00       0.00000e+00       0.00000e+00
   12               0.00000e+00       0.00000e+00       0.00000e+00
   13               0.00000e+00       0.00000e+00       0.00000e+00
   14               0.00000e+00       0.00000e+00       0.00000e+00
   15               0.00000e+00       0.00000e+00       0.00000e+00
   16               0.00000e+00       0.00000e+00       0.00000e+00
   17               0.00000e+00       0.00000e+00       0.00000e+00
   18               0.00000e+00       0.00000e+00       0.00000e+00
   19              -1.25050e-06      -4.82709e-06       4.82709e-06
   20              -4.37688e-06      -1.59267e-05       7.26784e-06
   21              -8.13642e-06      -2.93629e-05       7.56750e-06
   22              -1.17348e-05      -4.23853e-05       6.73333e-06
   23              -1.47621e-05      -5.34490e-05       5.33265e-06
   24              -1.70139e-05      -6.17320e-05       3.65534e-06
   25              -1.83925e-05      -6.68234e-05       1.85157e-06
   26              -1.88559e-05      -6.85380e-05      -3.77271e-19
   27              -1.83925e-05      -6.68234e-05      -1.85157e-06
   28              -1.70139e-05      -6.17320e-05      -3.65534e-06
   29              -1.47621e-05      -5.34490e-05      -5.33265e-06
   30              -1.17348e-05      -4.23853e-05      -6.73333e-06
   31              -8.13642e-06      -2.93629e-05      -7.56750e-06
   32              -4.37688e-06      -1.59267e-05      -7.26784e-06
   33              -1.25050e-06      -4.82709e-06      -4.82709e-06
   34               0.00000e+00       0.00000e+00       0.00000e+00
   35               0.00000e+00       0.00000e+00       0.00000e+00
   36              -4.37688e-06      -7.26784e-06       1.59267e-05
   37              -1.45038e-05      -2.33589e-05       2.33589e-05
   38              -2.67243e-05      -4.28522e-05       2.47397e-05
   39              -3.86231e-05      -6.21141e-05       2.24090e-05
   40              -4.87806e-05      -7.87958e-05       1.79815e-05
   41              -5.64147e-05      -9.14680e-05       1.24336e-05
   42              -6.11193e-05      -9.93316e-05       6.32959e-06
   43              -6.27056e-05      -1.01992e-04      -1.10588e-18
   44              -6.11193e-05      -9.93316e-05      -6.32959e-06
   45              -5.64147e-05      -9.14680e-05      -1.24336e-05
   46              -4.87806e-05      -7.87958e-05      -1.79815e-05
   47              -3.86231e-05      -6.21141e-05      -2.24090e-05
   48              -2.67243e-05      -4.28522e-05      -2.47397e-05
   49              -1.45038e-05      -2.33589e-05      -2.33589e-05
   50              -4.37688e-06      -7.26784e-06      -1.59267e-05
   51               0.00000e+00       0.00000e+00       0.00000e+00
   52               0.00000e+00       0.00000e+00       0.00000e+00
   53              -8.13642e-06      -7.56750e-06       2.93629e-05
   54              -2.67243e-05      -2.47397e-05       4.28522e-05
   55              -4.92210e-05      -4.57390e-05       4.57390e-05
